cheftestant,hometown,chef_url,bio_url,occupation
Brittany Anderson,"Richmond, VA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-brittanny-anderson.jpg,https://www.bravotv.com/people/brittanny-anderson,"Chef and Co-Owner of Metzger Bar and Butchery, Brenner Pass, and Black Lodge, Richmond, VA. Leni, Washington, D.C"
Avishar Barua,"Columbus, OH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-avishar-barua.jpg,https://www.bravotv.com/people/avishar-barua,"Executive Chef & GM, Service Bar"
Dawn Burrell,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-dawn-burrell.jpg,https://www.bravotv.com/people/dawn-burrell,"Partner/Executive Chef, Lucilleâ€™s Hospitality Group"
Gabe Erales,"Austin, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabe-erales.jpg,https://www.bravotv.com/people/gabe-erales,Chef
Nelson German,"Oakland, CA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-nelson-german.jpg,https://www.bravotv.com/people/nelson-german,"Executive Chef/Owner, alaMar Kitchen and Sobre Mesa Afro-Latino cocktail lounge"
Byron Gomez,"Aspen, CO",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-byron-gomez.jpg,https://www.bravotv.com/people/byron-gomez,Executive Chef at 7908
Sasha Grumman,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sasha-grumman.jpg,https://www.bravotv.com/people/sasha-grumman,Executive Chef
Roscoe Hall,"Birmingham, AL",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-roscoe-hall.jpg,https://www.bravotv.com/people/roscoe-hall,Chef/Artist/Father
Sara Hauman,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sara-hauman_0.jpg,https://www.bravotv.com/people/sara-hauman,"Head Chef, Soter Vineyards"
Kiki Louya,"Detroit, MI",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-kiki-louya.jpg,https://www.bravotv.com/people/kiki-louya,Chef / Consultant
Maria Mazon,"Tucson, AZ",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-maria-mazon.jpg,https://www.bravotv.com/people/maria-mazon,"Executive Chef/Owner, BOCA Tacos y Tequila"
Shota Nakajima,"Seattle, WA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-shota-nakajima.jpg,https://www.bravotv.com/people/shota-nakajima,"Chef/Owner, Taku"
Gabriel Pascuzzi,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabriel-pascuzzi.jpg,https://www.bravotv.com/people/gabriel-pascuzzi,"Chef/Owner, Mama Bird, Stacked Sandwich Shop and Feel Good"
Jamie Tran,"Las Vegas, NV",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-jamie-tran.jpg,https://www.bravotv.com/people/jamie-tran,"Chef/Owner, The Black Sheep"
Chris Viaud,"Milford, NH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-chris-viaud.jpg,https://www.bravotv.com/people/chris-viaud,Chef/Owner of Greenleaf and Culture