logo_name,team_url
Tom,https://pyxis.nymag.com/v1/imgs/8e9/e9c/e90670bfbcbbbe9bfe4e12db41c84f1ac7-17-tom-colicchio-silo.2x.h473.w710.png
Padma,https://pbs.twimg.com/media/EyeXQdHVEAIcNjj?format=png&name=240x240
Gail,https://pyxis.nymag.com/v1/imgs/ce6/bd7/2232e89a612520f60956809aff4b930b7a-05-gail-simmons-silo.2x.rsocial.w600.png
Blais' hair,https://pbs.twimg.com/media/EyeWBmoUYAUzSFg?format=png&name=240x240
Butter,https://img.icons8.com/emoji/452/butter-emoji.png
Cheese,https://pngimg.com/uploads/cheese/cheese_PNG25300.png
Eggs,https://pngimg.com/uploads/egg/egg_PNG24.png
Salt & Pepper,https://img.pngio.com/full-salt-and-pepper-dispenser-set-transparent-png-stickpng-salt-and-pepper-png-1200_1200.png
Bread,https://freepikpsd.com/wp-content/uploads/2019/10/french-bread-png-3-Transparent-Images.png
Fruit,https://freepngimg.com/thumb/fruit/4-2-fruit-png-image.png
Vegetables,https://freepngimg.com/thumb/vegetable/24419-9-vegetable-transparent-background.png
Wine,"https://static.wixstatic.com/media/2cd43b_80acdbb066af4baaac3d53c833d1e45c~mv2.png/v1/fill/w_614,h_614,fp_0.50_0.50,lg_1,q_95/2cd43b_80acdbb066af4baaac3d53c833d1e45c~mv2.png"
Beer,https://purepng.com/public/uploads/large/purepng.com-beer-mugfood-beer-glass-mug-wine-object-drink-club-alcohol-beverage-941524601027hbxku.png
Pizza,http://pngimg.com/uploads/pizza/pizza_PNG44049.png
Burger,https://pngimg.com/uploads/burger_sandwich/burger_sandwich_PNG4114.png
Pasta,https://pngimg.com/uploads/spaghetti/spaghetti_PNG24.png
Steak,https://pngimg.com/uploads/steak/steak_PNG50.png
Sushi,"https://static.wixstatic.com/media/2cd43b_e5828aa119524592ab00126dfa48a944~mv2.png/v1/fill/w_640,h_636,fp_0.50_0.50,lg_1,q_95/2cd43b_e5828aa119524592ab00126dfa48a944~mv2.png"
Salmon,https://www.pngitem.com/pimgs/m/693-6936710_cooked-salmon-png-transparent-png.png
Lobster,https://lobsterfrommaine.com/wp-content/uploads/2015/05/Maine-Lobster-Recipes_640x340_acf_cropped-640x3401.png
Taco,https://www.pngitem.com/pimgs/m/72-720776_taco-pdf-hd-png-download.png
Rice,https://www.pngarts.com/files/3/Brown-Rice-PNG-Picture.png
Bacon,https://freepngimg.com/thumb/bacon/8-2-bacon-png.png
Cake,https://www.freepnglogos.com/uploads/cake-png/cake-png-transparent-cake-images-pluspng-21.png
Ice Cream,https://freepngimg.com/thumb/ice%20cream/4-ice-cream-png-image.png
Donut,http://pngimg.com/uploads/donut/donut_PNG63.png
Grill,https://pngimg.com/uploads/barbecue/barbecue_PNG8.png
Knife,https://i.pinimg.com/originals/da/98/55/da98554c5ae01e62813d6f0f5efe0fb4.png
Spatula,https://pics.clipartpng.com/Slotted_Spatula_PNG_Clipart-715.png
Silverware,https://static.vecteezy.com/system/resources/previews/001/209/291/original/silverware-png.png
Spoon,https://i.pinimg.com/originals/2e/2a/2f/2e2a2fb6f9be13edd45577886d70b8e9.png
Pan,https://pngimg.com/uploads/frying_pan/frying_pan_PNG8359.png
Pot,https://i.pinimg.com/originals/cb/f0/71/cbf0715e930fa6022761b2f6223c81e2.png
Use image from web,